filename,cluster,UMAP1,UMAP2
1,25,-1.6065955,4.670369
10,24,2.738623,12.946115
100,1,-1.1596065,14.815236
1000,7,2.0824356,4.3170805
100001,22,-2.3848724,6.4045744
100003,20,-3.3228743,9.91804
100008,20,-3.1100423,9.605763
100015,8,2.3982112,10.783194
100017,33,-3.0449505,12.686017
100032,36,-0.74992687,10.473326
100034,36,0.10703045,10.211512
100036,8,2.1468492,10.944541
100038,12,-5.37117,7.9267426
100040,24,1.6000714,12.692123
100042,35,-0.3437455,8.34578
100044,29,-0.24374646,12.683977
100046,29,-0.96038204,11.851011
100048,3,-0.903997,9.495474
100052,7,1.9354161,4.1050205
100054,6,0.24423933,11.878912
100056,18,0.17376612,14.267083
100058,24,2.9311655,12.541791
100060,3,0.11335441,9.126899
100062,36,-0.11394765,11.054454
100070,8,2.8343816,10.920802
100072,11,2.1769726,8.188871
100075,8,3.1801927,11.945838
100077,12,-5.3181386,7.610355
100079,30,0.96281075,12.710386
100081,9,0.088551804,5.458854
100083,20,-3.728459,9.375872
100087,13,3.6519694,8.91275
100091,0,-4.036544,11.329583
100096,6,0.4458357,11.739051
100099,30,0.8315662,13.377467
1001,4,-3.3824465,6.972228
100101,32,-0.16183369,13.020619
100103,10,-2.438823,10.52902
100106,38,-1.0778719,7.654097
100108,27,2.9650683,5.1373563
100131,24,2.5976267,13.325054
100138,37,-2.8419113,8.204548
100143,9,-0.3376312,5.210482
100145,4,-4.310833,6.908005
100150,16,-4.869682,10.455127
100155,19,-1.0405798,11.174205
100157,28,1.7199565,7.252902
100159,36,-0.21449399,11.160094
100161,16,-4.4367213,10.364
100163,23,-0.13190909,7.256068
100167,26,1.5978475,9.934209
100169,39,-3.2707071,5.425631
100171,37,-3.773598,8.194675
100173,0,-4.0685496,11.613717
100180,3,-0.7012737,9.936744
100183,3,-0.64651084,9.781486
100185,20,-3.3748147,9.381924
100194,35,-1.3037703,8.745971
100196,37,-3.0945067,7.889686
100198,38,-1.989769,7.41469
1002,22,-2.9867365,6.928435
100200,3,-0.54380685,9.403226
100203,31,-1.0950562,6.5070963
100205,3,-0.24962443,9.472825
100210,33,-2.6341648,11.920645
100229,15,-2.3533754,8.905658
100232,31,-0.7741814,7.152785
100238,30,0.4791608,13.449414
100240,6,0.25611037,11.554448
100244,8,2.2370803,11.723083
100246,18,0.3100705,14.290743
100248,18,0.8675691,14.448246
100251,37,-3.26623,7.8677354
100253,25,-1.5001998,4.5786333
100255,20,-3.0567584,9.345281
100257,31,-1.2496334,6.225879
100259,5,0.6281032,9.366498
100264,30,0.4302758,13.377668
100270,15,-2.3567684,8.434127
100272,36,-0.36702064,10.210187
100275,21,-1.3235118,9.325271
100277,6,0.42465106,11.623743
100287,35,-0.90593225,8.256785
100289,28,1.189797,6.94035
100291,21,-1.3578967,9.983119
100294,32,0.28660837,14.059549
1003,18,0.53815794,14.403932
100302,5,1.0937585,8.893235
100304,19,-1.7619232,11.8378315
100308,22,-2.8261824,6.8369823
100315,35,-0.5454846,8.473682
100322,10,-2.224508,10.216929
100324,33,-2.6055853,12.241317
100326,22,-2.4975047,6.5097938
100328,23,0.43865928,7.358859
100330,10,-2.2825031,10.281549
100334,31,-0.9584566,6.456113
100336,3,-0.7147876,9.147768
100338,36,-0.43334326,10.511801
100344,27,2.6062303,6.2373667
100347,35,-1.0635823,7.982464
100359,8,2.7123656,11.6425085
100361,19,-1.7485632,11.1251335
100365,5,0.5792925,8.1607485
100368,6,0.48637512,12.156012
100370,22,-2.535678,6.4516816
100372,19,-2.0531638,11.058689
100383,10,-2.4156992,11.314018
100385,10,-2.7924037,11.108863
100387,3,-0.31929302,10.080079
100390,19,-1.6630628,11.3186
100395,36,-0.574675,11.416516
100397,24,2.1135235,12.690559
1004,13,3.4674263,9.901886
100401,20,-3.8789566,10.28914
100404,23,-0.4281208,7.0468006
100406,0,-4.245393,11.549893
100411,28,1.5283471,6.8372917
100415,23,0.08153482,7.3096757
100419,1,-0.557953,14.22883
100421,2,2.4085543,7.5841603
100423,19,-1.687513,10.768192
100426,3,-0.34806198,9.808579
100436,26,0.96167356,10.50661
100438,23,0.19516213,7.5219064
100440,10,-2.3614733,11.233482
100442,34,-5.0044174,8.094961
100444,23,-0.21096206,7.8127074
100446,32,0.0279855,13.246803
100448,7,1.3710268,4.80195
100457,24,2.6129346,12.73331
100463,9,-0.06518664,5.3100395
100465,16,-5.1421404,10.403703
100467,22,-2.1436226,6.6456723
100469,14,-2.3961399,12.823132
100483,15,-2.851115,8.640994
100485,0,-4.1293416,11.306928
100487,36,0.12384216,11.377694
100490,10,-2.7616494,10.4578495
100492,0,-3.9398298,11.490047
100496,36,0.38123763,10.941137
100498,14,-1.5214167,12.462373
1005,27,2.546336,6.212374
100503,16,-4.0205183,10.226761
100505,0,-3.1973648,11.270923
100507,18,0.8530656,14.702002
100509,19,-1.5161102,11.4443
100511,6,0.9468456,11.949034
100513,29,-0.13346587,12.294946
100515,36,-0.653223,10.713836
100517,5,1.0376426,9.282386
100519,22,-2.2329013,6.596508
100521,2,2.5483654,6.653618
100527,3,-0.49644896,10.155006
100529,26,1.7656668,10.139517
100534,8,2.5555072,11.415455
100536,36,0.021234827,10.76742
100540,11,2.6702933,8.389851
100556,2,2.9111211,7.2993517
100559,39,-2.3392644,5.9935374
100562,2,2.5733004,7.5294485
100567,5,0.9379705,8.459735
100570,5,1.5472368,8.604188
100574,28,1.1217424,6.2941356
100577,37,-3.5729089,7.557744
100579,14,-1.8747618,12.311745
100581,33,-3.379443,12.388656
100583,3,-0.44097102,10.025819
100585,31,-1.0943724,6.7455635
100588,14,-1.6436509,12.637489
100591,29,-0.732833,12.142785
100593,3,-0.85572284,9.702674
100595,35,-0.90178,8.292686
1006,32,0.018927999,13.819176
100611,9,-1.0991881,5.3540707
100613,36,0.12679459,10.292861
100642,4,-3.7728975,6.8042655
100647,26,2.3038042,10.551644
100653,8,2.397686,10.92951
1007,10,-2.6081958,10.858998
100714,31,-0.8302065,6.4188223
100717,16,-4.5836105,10.51606
100719,29,-0.923786,12.258647
100721,13,2.941774,9.268737
100725,9,0.017890655,5.8208365
100727,0,-3.645415,11.706657
100737,8,2.5269523,10.896816
100739,8,2.820932,10.403415
100741,2,3.3196487,7.7202005
100743,6,0.36964047,12.121543
100745,8,2.8027766,12.048756
100799,21,-1.9729618,10.24668
1008,35,-1.280493,8.253407
100810,6,0.51173866,11.320485
100823,33,-2.297409,12.370461
100836,31,-0.62601566,6.6369157
100838,14,-1.6445115,12.476377
100843,6,0.10991363,11.438898
100882,21,-1.6688327,10.184606
100884,4,-3.8105073,7.5333366
1009,25,-1.4423435,4.041053
