filename,cluster,UMAP1,UMAP2
1,1,0.5021718,4.361279
10,191,-0.5897759,15.576199
100,942,-5.6886125,8.944212
1000,1001,-3.0138943,3.3946848
100001,1057,-2.1547437,6.0681925
100003,7079,-3.074026,9.808813
100008,2950,-3.071052,9.403818
100015,9409,2.7458146,11.458226
100017,7471,-2.7737536,12.558347
100032,6813,-0.49943155,10.306923
100034,8256,0.48544273,9.924766
100036,9524,2.6224847,11.515084
100038,679,-1.4329859,15.485985
100040,9642,0.6982211,13.501037
100042,7548,-0.111798726,8.042959
100044,7156,0.1783853,12.479936
100046,4552,-0.47022238,11.743427
100048,2322,-0.4919533,9.193318
100052,1001,-3.1488469,3.451653
100054,9645,2.6689136,10.242119
100056,8632,1.8955128,13.894993
100058,882,0.7264662,15.177803
100060,9940,2.421964,8.423579
100062,7619,0.34155416,10.8015
100070,9409,3.0129373,11.8659525
100072,9942,2.7422788,8.378288
100075,590,1.0334659,15.117986
100077,701,-1.1451788,15.269111
100079,7680,1.8798882,12.210675
100081,10344,1.2497373,5.748627
100083,11956,-1.6104671,4.04275
100087,10123,4.041824,9.375059
100091,3580,-3.939002,11.380353
100096,7810,0.96847755,11.572174
100099,7849,2.0772052,12.962654
1001,1395,-3.1881852,6.3400855
100101,9219,0.31284803,12.6766
100103,5901,-2.1755478,10.426463
100106,11996,-0.78196335,7.343692
100108,11956,-1.5074766,3.3825223
100131,199,-0.21097018,15.629179
100138,7016,-2.7470965,7.966737
100143,10380,0.9285531,5.353658
100145,9401,-4.7764363,7.4748573
100150,3457,-4.7185273,10.398946
100155,4728,-0.7393003,11.22881
100157,12001,2.582253,7.1722007
100159,8989,0.14624472,11.040004
100161,5731,-4.3711395,10.318369
100163,10711,0.3247528,7.1019397
100167,11898,1.9120249,9.721806
100169,1221,-3.3077106,5.2292795
100171,7392,-4.096645,8.126694
100173,3580,-3.931973,11.626601
100180,9387,-0.44251084,9.805482
100183,9390,-0.30041057,9.596206
100185,6674,-3.1557279,9.159922
100194,2152,-1.0349015,8.6121
100196,12002,0.40819195,12.16171
100198,1744,-2.409626,7.23771
1002,1317,-3.061262,6.737289
100200,2190,-0.2504425,9.113223
100203,10850,-0.7719099,6.123509
100205,2525,-0.9296784,9.707618
100210,4032,-2.4246228,11.811209
100229,1793,-2.1121585,8.634959
100232,12002,-0.60645044,6.9371367
100238,8624,1.3379538,13.307068
100240,7652,0.99700326,11.255968
100244,594,0.17380491,14.548357
100246,8632,1.6762817,13.899459
100248,8932,2.2503386,13.887607
100251,6387,-3.4235559,7.9791822
100253,1,0.4384545,4.147225
100255,3099,-2.9881842,9.202225
100257,12003,-0.1534679,5.9012585
100259,12022,0.7846781,8.747024
100264,8765,1.547551,13.064838
100270,1811,-2.2304103,8.130089
100272,8426,0.013283313,10.027993
100275,2167,-0.88684916,8.846923
100277,7652,1.1620358,11.15832
100287,2150,-0.7799633,7.969626
100289,11627,2.234804,6.679123
100291,2550,-1.1363884,9.822718
100294,8632,1.658489,13.839138
1003,8632,1.9734867,14.041668
100302,11195,1.0732201,8.155041
100304,4458,-1.3329186,11.786808
100308,6965,-3.2521343,6.9530935
100315,2150,-0.4735937,8.201968
100322,6024,-1.9369053,9.993312
100324,5127,-2.3213835,12.206093
100326,1157,-2.4615264,6.2745094
100328,10743,0.19925497,7.256449
100330,5944,-2.1383674,10.115483
100334,10775,-0.61540276,6.0887303
100336,2150,-0.3955482,8.961731
100338,8475,0.3097436,10.019086
100344,12023,3.5374587,6.194278
100347,2157,-0.99708104,7.777419
100359,458,0.8104456,14.806724
100361,4735,-1.2928582,11.042844
